avif_file,yuv_file,status,avif_size,yuv_size,error
D:\碩士實驗\testdata\coeff_test\nonzero_ratio_50\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\nonzero_ratio_50\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6551603,933120000,
D:\碩士實驗\testdata\coeff_test\nonzero_ratio_50\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\nonzero_ratio_50\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3622518,414720000,
D:\碩士實驗\testdata\coeff_test\scan_pos_3eob4\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_3eob4\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6564898,933120000,
D:\碩士實驗\testdata\coeff_test\scan_pos_3eob4\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_3eob4\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3621643,414720000,
D:\碩士實驗\testdata\coeff_test\scan_pos_eob2\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_eob2\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6558037,933120000,
D:\碩士實驗\testdata\coeff_test\scan_pos_eob2\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_eob2\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3635329,414720000,
D:\碩士實驗\testdata\coeff_test\scan_pos_eob4\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_eob4\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6580211,933120000,
D:\碩士實驗\testdata\coeff_test\scan_pos_eob4\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\scan_pos_eob4\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3610560,414720000,
D:\碩士實驗\testdata\coeff_test\transform_type_all\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_all\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6572764,933120000,
D:\碩士實驗\testdata\coeff_test\transform_type_all\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_all\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3628165,414720000,
D:\碩士實驗\testdata\coeff_test\transform_type_dct\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_dct\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6558418,933120000,
D:\碩士實驗\testdata\coeff_test\transform_type_dct\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_dct\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3603173,414720000,
D:\碩士實驗\testdata\coeff_test\transform_type_double_adst\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_double_adst\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6557864,933120000,
D:\碩士實驗\testdata\coeff_test\transform_type_double_adst\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_double_adst\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3609218,414720000,
D:\碩士實驗\testdata\coeff_test\transform_type_mix\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_mix\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6570809,933120000,
D:\碩士實驗\testdata\coeff_test\transform_type_mix\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_mix\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3622887,414720000,
D:\碩士實驗\testdata\coeff_test\transform_type_other\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_other\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6561262,933120000,
D:\碩士實驗\testdata\coeff_test\transform_type_other\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\coeff_test\transform_type_other\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3622496,414720000,
D:\碩士實驗\testdata\hidden_bit_test\0\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\0\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6579464,933120000,
D:\碩士實驗\testdata\hidden_bit_test\0\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\0\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3615228,414720000,
D:\碩士實驗\testdata\hidden_bit_test\0_1\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\0_1\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6583816,933120000,
D:\碩士實驗\testdata\hidden_bit_test\0_1\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\0_1\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3624114,414720000,
D:\碩士實驗\testdata\hidden_bit_test\1\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\1\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6567444,933120000,
D:\碩士實驗\testdata\hidden_bit_test\1\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\hidden_bit_test\1\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3598734,414720000,
D:\碩士實驗\testdata\lag_frame_test\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\lag_frame_test\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,12182752,933120000,
D:\碩士實驗\testdata\lag_frame_test\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\lag_frame_test\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,7245316,414720000,
D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6555807,933120000,
D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1268886,933120000,
D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4418624,933120000,
D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,OK,3799940,414720000,
D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,OK,1139739,414720000,
D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,OK,2201749,414720000,
