experiment,video,quality,bitrate,fps,width,height,source_file,clean_file,steg_file,source_frames,clean_frames,steg_frames,SC_Frames,SC_Y_PSNR,SC_U_PSNR,SC_V_PSNR,SC_YUV_PSNR,SS_Frames,SS_Y_PSNR,SS_U_PSNR,SS_V_PSNR,SS_YUV_PSNR,CS_Frames,CS_Y_MSE,CS_Y_PSNR,CS_U_MSE,CS_U_PSNR,CS_V_MSE,CS_V_PSNR,CS_YUV_MSE,CS_YUV_PSNR,CS_Y_Different_Pixels,CS_U_Different_Pixels,CS_V_Different_Pixels,CS_Y_Max_Abs_Diff,CS_U_Max_Abs_Diff,CS_V_Max_Abs_Diff,CS_Worst_Frame,CS_Worst_Frame_Y_MSE,CS_Worst_Frame_Y_PSNR,CS_Worst_Frame_Y_Different_Pixels,CS_Worst_Frame_Y_Max_Diff,status
angle_test,FourPeople,High,5000,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,601,300,300,300,43.20686351286778,47.28335048742923,48.622195793087556,44.28726888384596,300,43.174665147593515,47.27587889627066,48.616416620798645,44.25875143919547,300,1.8115897641782408,45.550205026952916,0.5699637586805556,50.57233119064609,0.4350730179398148,51.74518210517519,1.375232638888889,46.74704189800076,152201068,25609486,21284006,40,26,19,117,2.1141026475694447,44.87954290767492,518727,17,OK
angle_test,FourPeople,Low,1200,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,601,300,300,300,40.7374811000065,45.423822140118624,46.69022844591929,41.89722728780288,300,40.65838083698245,45.458430306685074,46.7078542457847,41.83174042699235,300,3.1957796911168983,43.08503528345512,0.8358438512731482,48.9095520886483,0.6780028935185185,49.81848813554764,2.382827584876543,44.35987741788626,163779746,28374514,25369287,90,21,18,294,3.853617621527778,42.27211741648418,558499,51,OK
angle_test,FourPeople,Middle,2500,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,601,300,300,300,42.25673275569677,46.7301357041856,48.03575796861084,43.39061002938002,300,42.20824061241578,46.70674345090905,48.000322793914656,43.344797707086855,300,2.1190695167824076,44.869351567480614,0.623593677662037,50.181786574466955,0.49273758680555557,51.20464668656673,1.5987682219328703,46.09294853489224,154927624,25600830,22087460,53,24,25,294,2.5591634114583335,44.049823428866304,535519,27,OK
angle_test,Johnny,High,5000,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,601,300,300,300,43.610530948537665,48.54231180197124,49.126748945552066,44.76255647134578,300,43.60082439270454,48.53993455738751,49.12196460451183,44.753661320622314,300,1.5057503038194444,46.35327401396473,0.39313622685185184,52.18537295686989,0.3630222800925926,52.53147080668347,1.1298599537037037,47.60055744909219,129729479,19160985,18177889,53,21,18,271,1.7673687065972221,45.65753199851998,450925,18,OK
angle_test,Johnny,Low,1200,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,601,300,300,300,42.031482608534944,47.54284943884271,48.11379316898342,43.25433918611668,300,41.988662610285914,47.49833074476336,48.066380654141334,43.2111635752498,300,1.9213663990162038,45.29470169406736,0.4821104890046296,51.2993378058325,0.4462247685185185,51.63526687944804,1.4356334755979938,46.560367843621925,121238743,18141314,17589661,69,34,34,26,2.5133018663194444,44.128357071326704,390406,28,OK
angle_test,Johnny,Middle,2500,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,601,300,300,300,42.839162823626715,48.18403273626225,48.760664034961714,44.042606665807,300,42.81813105108561,48.1814514493987,48.74199241756305,44.022890265205774,300,1.655193948929398,45.942314709043934,0.40061299189814814,52.10355331491521,0.3656583333333333,52.500048854474706,1.231174520158179,47.22760741917463,124000107,17431128,16534902,37,30,20,292,1.9645062934027777,45.19826936431859,442720,21,OK
angle_test,KristenAndSara,High,5000,60,1280,720,D:\碩士實驗\testdata\KristenAndSara_720p_60.yuv,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.yuv,601,300,300,300,44.223855272977126,48.11858172259904,48.98618612187881,45.24585212866881,300,44.2077473632024,48.11847627486861,48.980120430086345,45.23182519153245,300,1.2864030924479166,47.03703285440329,0.48389092881944445,51.283328801120156,0.39856830150462963,52.125776049606415,1.0046786000192902,48.11053209123476,130581949,22537223,19805933,50,28,23,92,1.5450748697916667,46.24130831961707,453910,17,OK
angle_test,KristenAndSara,Low,1200,60,1280,720,D:\碩士實驗\testdata\KristenAndSara_720p_60.yuv,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.yuv,601,300,300,300,42.03696461532853,46.46434872916007,47.36464739953049,43.14017447065325,300,41.98664423204099,46.49107964250718,47.38740064454157,43.10035311503804,300,2.1386095269097223,44.82948863715136,0.6691725260416667,49.87542258872587,0.5602310619212963,50.64713176324964,1.6306402826003086,46.00722194132848,134468214,22905624,20919154,126,36,46,29,2.7155360243055555,43.792247923497065,460371,74,OK
angle_test,KristenAndSara,Middle,2500,60,1280,720,D:\碩士實驗\testdata\KristenAndSara_720p_60.yuv,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.yuv,601,300,300,300,43.32014167637755,47.58319482448719,48.466431264057384,44.398766289755606,300,43.29232822591717,47.56582024068385,48.460664324241016,44.37322469522932,300,1.4736322554976853,46.44691241886375,0.5088562789351851,51.064852230873406,0.4225934606481481,51.87157588516968,1.1376631269290123,47.57066678575494,127548655,21096086,18859288,98,31,39,92,1.8322406684027779,45.50097842357871,439039,25,OK
angle_test,SpeedBag,High,8000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,570,150,150,150,44.82257594060983,50.4505627017324,48.57959533394986,45.88803850630931,150,44.820153553149204,50.45372668975993,48.57972669132704,45.88617052760603,150,0.8698845582561728,48.73618739328505,0.22799931841563786,54.55146812151534,0.33700752314814814,52.8544076496613,0.6740908457647462,49.84361931460689,112921109,16074085,20667908,28,11,12,78,1.4462991898148148,46.52822217947446,910342,17,OK
