path,embedded_bits,extracted_bits,different_bits,ber,exact_match,first_mismatch
AV1Stego\1024\Fallout4_1080p_60_High,0,0,0,0.00000000,YES,
AV1Stego\1024\Fallout4_1080p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\1024\Fallout4_1080p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\1024\Johnny_720p_60_High,0,0,0,0.00000000,YES,
AV1Stego\1024\Johnny_720p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\1024\Johnny_720p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\1024\speed_bag_1080p_30_High,0,0,0,0.00000000,YES,
AV1Stego\1024\speed_bag_1080p_30_Low,0,0,0,0.00000000,YES,
AV1Stego\1024\speed_bag_1080p_30_Middle,0,0,0,0.00000000,YES,
AV1Stego\256\Fallout4_1080p_60_High,0,0,0,0.00000000,YES,
AV1Stego\256\Fallout4_1080p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\256\Fallout4_1080p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\256\Johnny_720p_60_High,0,0,0,0.00000000,YES,
AV1Stego\256\Johnny_720p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\256\Johnny_720p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\256\speed_bag_1080p_30_High,0,0,0,0.00000000,YES,
AV1Stego\256\speed_bag_1080p_30_Low,0,0,0,0.00000000,YES,
AV1Stego\256\speed_bag_1080p_30_Middle,0,0,0,0.00000000,YES,
AV1Stego\512\Fallout4_1080p_60_High,0,0,0,0.00000000,YES,
AV1Stego\512\Fallout4_1080p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\512\Fallout4_1080p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\512\Johnny_720p_60_High,0,0,0,0.00000000,YES,
AV1Stego\512\Johnny_720p_60_Low,0,0,0,0.00000000,YES,
AV1Stego\512\Johnny_720p_60_Middle,0,0,0,0.00000000,YES,
AV1Stego\512\speed_bag_1080p_30_High,0,0,0,0.00000000,YES,
AV1Stego\512\speed_bag_1080p_30_Low,0,0,0,0.00000000,YES,
AV1Stego\512\speed_bag_1080p_30_Middle,0,0,0,0.00000000,YES,
best_coeff_test\Fallout4_1080p_60_High,1163,1163,0,0.00000000,YES,
best_coeff_test\Fallout4_1080p_60_Low,30,30,0,0.00000000,YES,
best_coeff_test\Fallout4_1080p_60_Middle,622,622,0,0.00000000,YES,
best_coeff_test\FourPeople_720p_60_High,3177,3177,0,0.00000000,YES,
best_coeff_test\FourPeople_720p_60_Low,854,854,0,0.00000000,YES,
best_coeff_test\FourPeople_720p_60_Middle,2052,2052,0,0.00000000,YES,
best_coeff_test\Johnny_720p_60_High,1490,1490,0,0.00000000,YES,
best_coeff_test\Johnny_720p_60_Low,228,228,0,0.00000000,YES,
best_coeff_test\Johnny_720p_60_Middle,686,686,0,0.00000000,YES,
best_coeff_test\KristenAndSara_720p_60_High,2127,2127,0,0.00000000,YES,
best_coeff_test\KristenAndSara_720p_60_Low,505,505,0,0.00000000,YES,
best_coeff_test\KristenAndSara_720p_60_Middle,1317,1317,0,0.00000000,YES,
best_coeff_test\speed_bag_1080p_30_High,1566,1566,0,0.00000000,YES,
best_coeff_test\speed_bag_1080p_30_Low,88,88,0,0.00000000,YES,
best_coeff_test\speed_bag_1080p_30_Middle,1566,1566,0,0.00000000,YES,
