Using AOMedia Project AV1 Decoder v3.11.0
[ANGLE_READ] sym 4, injected 0, total_bits 62, payload_bits 62, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 63, payload_bits 63, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 64, payload_bits 64, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 65, payload_bits 65, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 66, payload_bits 66, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 67, payload_bits 67, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 68, payload_bits 68, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 69, payload_bits 69, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 70, payload_bits 70, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 71, payload_bits 71, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 72, payload_bits 72, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 73, payload_bits 73, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 74, payload_bits 74, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 75, payload_bits 75, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 76, payload_bits 76, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 77, payload_bits 77, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 78, payload_bits 78, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 79, payload_bits 79, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 80, payload_bits 80, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 81, payload_bits 81, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 82, payload_bits 82, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 83, payload_bits 83, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 84, payload_bits 84, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 85, payload_bits 85, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 86, payload_bits 86, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 87, payload_bits 87, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 88, payload_bits 88, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 89, payload_bits 89, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 90, payload_bits 90, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 91, payload_bits 91, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 92, payload_bits 92, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 93, payload_bits 93, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 94, payload_bits 94, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 95, payload_bits 95, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 96, payload_bits 96, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 97, payload_bits 97, keyword_buffer 220022, end_found 0
