Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   7832, rd_minus:  11012, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1044, rd_minus:   1288, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 42 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  17380, rd_minus:  17422, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 43 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7526, rd_minus:   7404, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 44 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3232, rd_minus:   3282, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6342, rd_minus:   3504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    158, rd_minus:    120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     66, rd_minus:     66, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5322, rd_minus:   7718, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7884, rd_minus:   5668, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 50 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2744, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3212, rd_minus:   5222, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  10548, rd_minus:  11068, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 53 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    496, rd_minus:    450, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2464, rd_minus:   1664, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3756, rd_minus:   3380, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 56 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14516, rd_minus:  10548, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 57 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2094, rd_minus:   1786, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 58 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5318, rd_minus:   5964, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 59 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1920, rd_minus:   1916, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14498, rd_minus:  14854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 61 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6292, rd_minus:   6798, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 62 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3972, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 63 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6572, rd_minus:   6848, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 64 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1672, rd_minus:   1754, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 65 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1220, rd_minus:   1166, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 66 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3416, rd_minus:   3002, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 67 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2934, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 68 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2624, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 69 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3184, rd_minus:   3112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    116, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 71 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    296, rd_minus:    290, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 72 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     80, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 73 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1240, rd_minus:   1316, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 74 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3942, rd_minus:   3048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 75 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2284, rd_minus:   4590, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1284, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 77 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1024, rd_minus:    988, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 78 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5888, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 79 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8166, rd_minus:   6948, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 80 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    130, rd_minus:    204, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    198, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 82 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1020, rd_minus:   1026, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 83 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    370, rd_minus:    304, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 84 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    276, rd_minus:    320, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 85 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    834, rd_minus:   6082, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    606, rd_minus:    610, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 87 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1718, rd_minus:   1584, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 88 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1686, rd_minus:   1492, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 89 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2666, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 90 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     60, rd_minus:     60, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 91 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3032, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 92 / 8216, payload_bits 8192, end_bits 24
