Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    922, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3924, rd_minus:   2382, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    700, rd_minus:    780, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1390, rd_minus:   1086, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2056, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10372, rd_minus:   9732, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3864, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4882, rd_minus:   5258, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3124, rd_minus:   3984, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6368, rd_minus:   7562, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4016, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1854, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2816, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4370, rd_minus:   3206, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3660, rd_minus:   3516, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3766, rd_minus:   3838, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5004, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4806, rd_minus:   5024, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4384, rd_minus:   5316, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5936, rd_minus:   5492, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 20 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1432, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 21 / 2072, payload_bits 2048, end_bits 24
